iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2012,6,4,0,10,0,0,0,1,1,0,1,0,1,0,3,4,29,0,0,209,0,-99,0,0,10,0,6,12,0,0,0,1,0,0,0,4,0,0,0,0,0,28
2014,9,25,0,9,0,0,0,1,1,0,1,0,0,0,2,4,36,0,0,214,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,0,4,0,-9,-9,0,-9,112
2014,6,11,0,10,0,0,0,1,1,1,0,0,1,1,3,14,78,0,0,95,0,1,0,1,7,0,6,15,16,0,1,34,0,0,1,3,0,-9,-9,0,-9,99
2013,4,21,0,11,0,0,0,1,1,0,1,0,1,0,3,4,27,0,0,147,0,20,0,0,10,0,6,16,20,0,20,0,0,0,0,4,0,0,0,0,0,1
2013,8,15,0,6,0,0,0,1,1,1,0,1,1,0,3,14,78,0,0,92,0,-99,0,1,10,0,6,12,0,0,0,0,0,0,0,4,0,0,0,0,0,70
2014,7,12,0,10,0,0,0,1,1,1,0,0,1,1,3,17,94,0,0,200,0,1,0,0,10,0,6,13,6,0,1,40,0,0,-9,4,0,-9,-9,0,-9,99
2014,3,18,0,10,0,0,0,1,1,1,0,0,1,0,3,3,24,0,0,95,0,-99,0,1,7,0,6,15,1,0,0,6,0,0,-9,4,0,-9,-9,0,-9,99
2014,4,1,1,10,0,0,0,1,1,1,0,0,1,0,6,3,25,0,0,228,1,-99,0,0,10,0,5,5,0,0,0,0,0,0,0,4,1,0,1,0,1,12
2011,6,14,0,5,0,0,0,1,1,1,1,0,1,0,7,1,0,0,0,160,0,20,0,1,8,0,8,18,0,0,0,1,0,0,1,3,0,0,0,0,0,3
2012,4,19,0,10,0,0,0,1,1,1,0,1,1,0,3,20,0,0,0,95,0,1,0,0,10,0,6,15,0,0,0,0,0,0,0,4,0,0,0,0,0,17
2013,1,29,0,6,0,0,1,1,1,1,0,0,1,0,1,2,15,0,0,92,0,-99,0,0,10,0,5,5,1,0,0,0,0,0,0,4,0,-9,-9,0,-9,52
2014,3,14,0,6,0,0,0,1,1,1,0,1,1,0,5,1,1,0,0,92,0,15,0,0,10,0,6,16,0,0,0,0,0,0,1,3,1,-9,-9,0,-9,52
2014,7,26,0,11,0,0,0,1,1,1,0,0,1,0,9,2,21,0,0,182,0,-99,0,0,10,0,13,0,0,0,0,0,0,0,-9,4,0,0,0,0,0,4
2013,12,29,0,11,0,0,0,1,1,0,1,0,1,0,3,4,29,0,0,422,1,-99,0,0,10,0,6,8,2,0,0,0,0,0,1,4,0,0,1,1,1,4
