iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2011,5,22,0,3,0,0,0,1,1,1,0,0,1,0,3,1,5,0,0,45,1,-99,0,0,10,0,6,16,1,0,0,1,0,0,-9,4,0,0,0,0,0,7
2014,12,10,0,6,0,0,0,1,1,0,1,1,1,0,2,4,34,0,0,4,0,-99,0,0,10,0,5,5,10,0,10,1,0,0,1,3,0,0,0,0,0,5
2014,11,5,0,9,0,0,0,1,1,1,0,0,1,0,3,8,49,0,0,214,0,-99,0,0,10,0,6,11,2,0,0,4,0,0,1,3,0,-9,-9,0,-9,112
2012,5,14,0,6,0,0,0,1,1,1,0,0,1,0,3,1,6,0,0,4,0,-99,0,0,10,0,6,12,9,0,0,7,0,0,1,3,0,0,0,0,0,5
2013,5,7,1,11,0,0,0,1,1,1,0,1,1,0,6,14,67,0,0,147,0,200,0,1,6,0,13,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1
2014,4,14,0,11,0,0,0,1,1,0,1,0,1,0,2,4,27,0,0,422,0,-99,0,0,10,0,6,11,2,0,2,0,0,0,-9,4,0,0,1,1,1,4
2013,7,14,0,10,0,0,0,1,1,1,0,0,1,0,3,1,2,0,0,200,0,-99,0,0,10,0,6,11,1,0,0,3,0,0,1,3,0,0,0,0,0,56
2012,7,7,0,11,0,0,0,1,1,1,0,1,1,0,2,14,69,0,0,147,0,-99,0,1,4,0,5,2,8,0,0,8,0,0,1,3,0,0,0,0,0,1
2014,9,13,0,10,0,0,0,1,1,1,0,1,1,0,7,15,87,0,0,200,0,-99,0,0,10,0,13,0,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,99
2013,4,19,0,5,0,0,1,1,1,1,0,0,1,0,2,3,25,0,0,205,0,-99,0,0,10,0,5,5,1,0,0,0,0,0,1,3,0,-9,-9,0,-9,57
